card_id,release_date,card_number,name,rarity,extracted_date
1,2024-12-06,CRBR-EN060,Crossover Breakers,Rare,2024-11-27
1,2024-12-06,CRBR-EN060,Crossover Breakers,Rare,2024-11-27
1,2024-12-06,CRBR-EN060,Crossover Breakers,Rare,2024-11-27
2,2024-12-06,CRBR-EN059,Crossover Breakers,Rare,2024-11-27
2,2024-12-06,CRBR-EN059,Crossover Breakers,Rare,2024-11-27
3,2024-12-06,CRBR-EN058,Crossover Breakers,Rare,2024-11-27
3,2024-12-06,CRBR-EN058,Crossover Breakers,Rare,2024-11-27
3,2024-12-06,CRBR-EN058,Crossover Breakers,Rare,2024-11-27
4,2024-12-06,CRBR-EN057,Crossover Breakers,Rare,2024-11-27
4,2024-12-06,CRBR-EN057,Crossover Breakers,Rare,2024-11-27
4,2024-12-06,CRBR-EN057,Crossover Breakers,Rare,2024-11-27
5,2023-03-10,MAZE-EN067,Maze Of Memories,Rare,2024-11-27
5,2023-03-10,MAZE-EN067,Maze Of Memories,Rare,2024-11-27
5,2023-03-10,MAZE-EN067,Maze Of Memories,Rare,2024-11-27
6,2023-04-21,SRL-EN064,Spell Ruler (Lc01 25Th Anniversary Edition),Common,2024-11-27
6,2023-04-21,SRL-EN064,Spell Ruler (Lc01 25Th Anniversary Edition),Common,2024-11-27
7,2023-04-21,IOC-EN071,Invasion Of Chaos (Lc01 25Th Anniversary Edition),Common,2024-11-27
7,2023-04-21,IOC-EN071,Invasion Of Chaos (Lc01 25Th Anniversary Edition),Common,2024-11-27
7,2023-04-21,IOC-EN071,Invasion Of Chaos (Lc01 25Th Anniversary Edition),Common,2024-11-27
7,2023-04-21,IOC-EN071,Invasion Of Chaos (Lc01 25Th Anniversary Edition),Common,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
8,2023-04-21,SRL-EN102,Spell Ruler (Lc01 25Th Anniversary Edition),Super Rare,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
9,2024-12-13,SBC2-ENI26,Speed Duel: Battle City Finals,Common,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
10,2023-04-21,SRL-EN103,Spell Ruler (Lc01 25Th Anniversary Edition),Secret Rare,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
11,2024-12-13,SBC2-ENA12,Speed Duel: Battle City Finals,Common,2024-11-27
