id,card_data
1,"{""card_name"": ""Recoded Alive"", ""card_icon"": ""Normal Trap""}"
2,"{""card_name"": ""Binary Sorceress"", ""card_attribute"": ""Earth"", ""card_link"": ""Link 2"", ""card_atk"": ""1600"", ""card_def"": ""-""}"
3,"{""card_name"": ""Encode Talker"", ""card_attribute"": ""Light"", ""card_link"": ""Link 3"", ""card_atk"": ""2300"", ""card_def"": ""-""}"
4,"{""card_name"": ""Boot Staggered"", ""card_attribute"": ""Light"", ""card_level"": ""Level 5"", ""card_atk"": ""2300"", ""card_def"": ""500""}"
5,"{""card_name"": ""Deep Dark Trap Hole"", ""card_icon"": ""Normal Trap""}"
6,"{""card_name"": ""House Of Adhesive Tape"", ""card_icon"": ""Normal Trap""}"
7,"{""card_name"": ""Don Turtle"", ""card_attribute"": ""Water"", ""card_level"": ""Level 3"", ""card_atk"": ""1100"", ""card_def"": ""1200""}"
8,"{""card_name"": ""Messenger Of Peace"", ""card_icon"": ""Continuous Spell""}"
9,"{""card_name"": ""Red-Eyes Black Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2400"", ""card_def"": ""2000""}"
10,"{""card_name"": ""Serpent Night Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2350"", ""card_def"": ""2400""}"
11,"{""card_name"": ""Dark Magician"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 7"", ""card_atk"": ""2500"", ""card_def"": ""2100""}"
12,"{""card_name"": ""Deepsea Shark"", ""card_attribute"": ""Water"", ""card_level"": ""Level 5"", ""card_atk"": ""1900"", ""card_def"": ""1600""}"
13,"{""card_name"": ""Gravekeeper'S Inscription"", ""card_icon"": ""Normal Spell""}"
14,"{""card_name"": ""Chaos Archfiend"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""1800""}"
15,"{""card_name"": ""Tri-Horned Dragon"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 8"", ""card_atk"": ""2850"", ""card_def"": ""2350""}"
16,"{""card_name"": ""Sour Scheduling - Red Vinegar Vamoose"", ""card_icon"": ""Continuous Trap""}"
17,"{""card_name"": ""Jinzo"", ""card_attribute"": ""Dark"", ""card_level"": ""Level 6"", ""card_atk"": ""2400"", ""card_def"": ""1500""}"
18,"{""card_name"": ""Weighbridge"", ""card_icon"": ""Normal Trap""}"
19,"{""card_name"": ""Numbers Eveil"", ""card_icon"": ""Normal Spell""}"
20,"{""card_name"": ""Reinforce!"", ""card_icon"": ""Normal Trap""}"
21,"{""card_name"": ""Magicians Of Bonds And Unity"", ""card_attribute"": ""Light"", ""card_level"": ""Level 8"", ""card_atk"": ""2500"", ""card_def"": ""2500""}"
